,results_name,ranking_name,match_type,최종_매핑명
206,United Arab Emirates,United Arab Emirates,자동 (정확 일치),United Arab Emirates
207,Uruguay,Uruguay,자동 (정확 일치),Uruguay
208,Uzbekistan,Uzbekistan,자동 (정확 일치),Uzbekistan
209,Vanuatu,Vanuatu,자동 (정확 일치),Vanuatu
210,Venezuela,Venezuela,자동 (정확 일치),Venezuela
211,Vietnam,Vietnam,자동 (정확 일치),Vietnam
212,Wales,Wales,자동 (정확 일치),Wales
213,Yemen,Yemen,자동 (정확 일치),Yemen
214,Yugoslavia,Yugoslavia,자동 (정확 일치),Yugoslavia
215,Zambia,Zambia,자동 (정확 일치),Zambia
216,Zimbabwe,Zimbabwe,자동 (정확 일치),Zimbabwe
